initial_alias,converted_alias,name,description,namespace,uniqueccds,unique_names
CCDS35440.1,ENSG00000067842,ATP2B3,ATPase plasma membrane Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:816],CCDS,CCDS35440.1,ACTN4
CCDS41237.1,ENSG00000162591,MEGF6,multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232],CCDS,CCDS41237.1,MAST1
CCDS41842.1,ENSG00000089250,NOS1,nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872],CCDS,CCDS41842.1,ADGRB2
CCDS42122.1,ENSG00000103222,ABCC1,ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51],CCDS,CCDS42122.1,ANO1
CCDS42824.1,ENSG00000072195,SPEG,striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901],CCDS,CCDS42824.1,SLC34A1
CCDS43575.1,ENSG00000015520,NPC1L1,NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898],CCDS,CCDS43575.1,MYH6
CCDS45463.1,ENSG00000102870,ZNF629,zinc finger protein 629 [Source:HGNC Symbol;Acc:HGNC:29008],CCDS,CCDS45463.1,DPP9
CCDS45544.1,None,None,None,,CCDS45544.1,CILP2
CCDS45930.1,ENSG00000105426,PTPRS,protein tyrosine phosphatase receptor type S [Source:HGNC Symbol;Acc:HGNC:9681],CCDS,CCDS45930.1,MTSS2
CCDS55890.1,ENSG00000089250,NOS1,nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872],CCDS,CCDS55890.1,TSC2
CCDS58056.1,ENSG00000116852,KIF21B,kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442],CCDS,CCDS58056.1,DUOX1
CCDS59167.1,ENSG00000102001,CACNA1F,calcium voltage-gated channel subunit alpha1 F [Source:HGNC Symbol;Acc:HGNC:1393],CCDS,CCDS59167.1,SLC45A4
CCDS59522.1,ENSG00000148408,CACNA1B,calcium voltage-gated channel subunit alpha1 B [Source:HGNC Symbol;Acc:HGNC:1389],CCDS,CCDS59522.1,NPTX1
CCDS64311.1,ENSG00000184347,SLIT3,slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087],CCDS,CCDS64311.1,GLI2
CCDS76369.1,ENSG00000215182,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]",CCDS,CCDS76369.1,KIRREL3
CCDS77305.1,ENSG00000105737,GRIK5,glutamate ionotropic receptor kainate type subunit 5 [Source:HGNC Symbol;Acc:HGNC:4583],CCDS,CCDS77305.1,XCR1
CCDS82681.1,ENSG00000142185,TRPM2,transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339],CCDS,CCDS82681.1,DRD2
CCDS85967.1,ENSG00000283039,KLF18,Kruppel like factor 18 [Source:HGNC Symbol;Acc:HGNC:51793],CCDS,CCDS85967.1,ZNF423
CCDS64.1,ENSG00000158292,GPR153,G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618],CCDS,CCDS64.1,TMEM63B
CCDS796.1,ENSG00000143126,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231],CCDS,CCDS796.1,OBSL1
CCDS5491.1,ENSG00000015520,NPC1L1,NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898],CCDS,CCDS5491.1,SLIT1
CCDS12431.1,ENSG00000130876,SLC7A10,solute carrier family 7 member 10 [Source:HGNC Symbol;Acc:HGNC:11058],CCDS,CCDS12431.1,TENM2
CCDS14048.1,ENSG00000159307,SCUBE1,"signal peptide, CUB domain and EGF like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13441]",CCDS,CCDS14048.1,C2CD4A
CCDS31326.1,ENSG00000185101,ANO9,anoctamin 9 [Source:HGNC Symbol;Acc:HGNC:20679],CCDS,CCDS31326.1,ATP2B2
CCDS31578.1,ENSG00000134780,DAGLA,diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165],CCDS,CCDS31578.1,SLC13A2
CCDS44020.1,ENSG00000172534,HCFC1,host cell factor C1 [Source:HGNC Symbol;Acc:HGNC:4839],CCDS,CCDS44020.1,PLCH2
CCDS45572.1,ENSG00000132361,CLUH,clustered mitochondria homolog [Source:HGNC Symbol;Acc:HGNC:29094],CCDS,CCDS45572.1,PIK3CD
CCDS46010.1,ENSG00000099331,MYO9B,myosin IXB [Source:HGNC Symbol;Acc:HGNC:7609],CCDS,CCDS46010.1,MGAT5B
CCDS47537.1,ENSG00000215045,GRID2IP,Grid2 interacting protein [Source:HGNC Symbol;Acc:HGNC:18464],CCDS,CCDS47537.1,MYH7
CCDS55536.1,ENSG00000198753,PLXNB3,plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105],CCDS,CCDS55536.1,KCNQ4
CCDS62693.1,ENSG00000105429,MEGF8,multiple EGF like domains 8 [Source:HGNC Symbol;Acc:HGNC:3233],CCDS,CCDS62693.1,NLGN2
CCDS76605.1,ENSG00000186815,TPCN1,two pore segment channel 1 [Source:HGNC Symbol;Acc:HGNC:18182],CCDS,CCDS76605.1,COL6A2
CCDS6026.1,ENSG00000168487,BMP1,bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067],CCDS,CCDS6026.1,ADRA1D
CCDS10962.1,ENSG00000154118,JPH3,junctophilin 3 [Source:HGNC Symbol;Acc:HGNC:14203],CCDS,CCDS10962.1,TMEM184A
CCDS42843.1,ENSG00000188011,RTP5,receptor transporter protein 5 (putative) [Source:HGNC Symbol;Acc:HGNC:26585],CCDS,CCDS42843.1,TRPV4
CCDS45733.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS45733.1,KCNQ1
CCDS54145.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS54145.1,CLPTM1
CCDS54146.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS54146.1,PIK3C2B
CCDS58568.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS58568.1,SLC1A7
CCDS59166.1,ENSG00000102001,CACNA1F,calcium voltage-gated channel subunit alpha1 F [Source:HGNC Symbol;Acc:HGNC:1393],CCDS,CCDS59166.1,KCNH6
CCDS416.1,ENSG00000163873,GRIK3,glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581],CCDS,CCDS416.1,CATSPER1
CCDS1578.1,ENSG00000143632,ACTA1,"actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]",CCDS,CCDS1578.1,GRIK4
CCDS7913.1,ENSG00000175264,CHST1,carbohydrate sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:1969],CCDS,CCDS7913.1,ADAMTS7
CCDS13060.1,ENSG00000088827,SIGLEC1,sialic acid binding Ig like lectin 1 [Source:HGNC Symbol;Acc:HGNC:11127],CCDS,CCDS13060.1,SETD1A
CCDS35253.1,ENSG00000102001,CACNA1F,calcium voltage-gated channel subunit alpha1 F [Source:HGNC Symbol;Acc:HGNC:1393],CCDS,CCDS35253.1,SLC12A5
CCDS44688.1,ENSG00000149256,TENM4,teneurin transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:29945],CCDS,CCDS44688.1,KIF26A
CCDS45735.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS45735.1,SLC9A1
CCDS45736.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS45736.1,FBXL18
CCDS54142.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS54142.1,CRHR1
CCDS58567.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS58567.1,C3
CCDS10284.1,ENSG00000173546,CSPG4,chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466],CCDS,CCDS10284.1,CDH4
CCDS10964.1,ENSG00000103257,SLC7A5,solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063],CCDS,CCDS10964.1,NISCH
CCDS32502.1,ENSG00000179588,ZFPM1,"zinc finger protein, FOG family member 1 [Source:HGNC Symbol;Acc:HGNC:19762]",CCDS,CCDS32502.1,CACNA1E
CCDS32551.1,ENSG00000183914,DNAH2,dynein axonemal heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:2948],CCDS,CCDS32551.1,PITPNM2
CCDS34966.1,ENSG00000071894,CPSF1,cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324],CCDS,CCDS34966.1,TCIRG1
CCDS54143.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS54143.1,SETD1B
CCDS58573.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS58573.1,KRTAP10-6
CCDS11737.1,ENSG00000167880,EVPL,envoplakin [Source:HGNC Symbol;Acc:HGNC:3503],CCDS,CCDS11737.1,OR10H1
CCDS42494.1,ENSG00000142347,MYO1F,myosin IF [Source:HGNC Symbol;Acc:HGNC:7600],CCDS,CCDS42494.1,KCNJ11
CCDS42595.1,ENSG00000131409,LRRC4B,leucine rich repeat containing 4B [Source:HGNC Symbol;Acc:HGNC:25042],CCDS,CCDS42595.1,UNC5A
CCDS46014.1,ENSG00000099308,MAST3,microtubule associated serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19036],CCDS,CCDS46014.1,TMEM104
CCDS58464.1,ENSG00000070915,SLC12A3,solute carrier family 12 member 3 [Source:HGNC Symbol;Acc:HGNC:10912],CCDS,CCDS58464.1,ANPEP
CCDS58571.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS58571.1,ATP8B3
CCDS58574.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS58574.1,FLT4
CCDS11846.1,ENSG00000168454,TXNDC2,thioredoxin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16470],CCDS,CCDS11846.1,AP2A1
CCDS54144.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS54144.1,FLNA
CCDS58575.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS58575.1,JUP
CCDS76390.1,ENSG00000188162,OTOG,otogelin [Source:HGNC Symbol;Acc:HGNC:8516],CCDS,CCDS76390.1,SEMA5B
CCDS1835.1,ENSG00000184261,KCNK12,potassium two pore domain channel subfamily K member 12 [Source:HGNC Symbol;Acc:HGNC:6274],CCDS,CCDS1835.1,G6PD
CCDS3863.1,ENSG00000142319,SLC6A3,solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049],CCDS,CCDS3863.1,KCNC4
CCDS45731.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS45731.1,ATG2A
CCDS78374.1,ENSG00000147799,ARHGAP39,Rho GTPase activating protein 39 [Source:HGNC Symbol;Acc:HGNC:29351],CCDS,CCDS78374.1,KCNF1
CCDS86932.1,ENSG00000088836,SLC4A11,solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438],CCDS,CCDS86932.1,C2CD4B
CCDS10770.1,ENSG00000070915,SLC12A3,solute carrier family 12 member 3 [Source:HGNC Symbol;Acc:HGNC:10912],CCDS,CCDS10770.1,MRC2
CCDS45491.1,ENSG00000070915,SLC12A3,solute carrier family 12 member 3 [Source:HGNC Symbol;Acc:HGNC:10912],CCDS,CCDS45491.1,SERINC2
CCDS45732.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS45732.1,GDPD5
CCDS58054.1,ENSG00000116852,KIF21B,kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442],CCDS,CCDS58054.1,CCR7
CCDS58566.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS58566.1,ANO8
CCDS58576.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS58576.1,RASGRF1
CCDS10643.1,ENSG00000196296,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:811],CCDS,CCDS10643.1,TBC1D17
CCDS34130.1,ENSG00000174358,SLC6A19,solute carrier family 6 member 19 [Source:HGNC Symbol;Acc:HGNC:27960],CCDS,CCDS34130.1,ADAMTSL2
CCDS41317.1,ENSG00000196517,SLC6A9,solute carrier family 6 member 9 [Source:HGNC Symbol;Acc:HGNC:11056],CCDS,CCDS41317.1,PDK2
CCDS42139.1,ENSG00000196296,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:811],CCDS,CCDS42139.1,ZDHHC22
CCDS44985.1,ENSG00000186815,TPCN1,two pore segment channel 1 [Source:HGNC Symbol;Acc:HGNC:18182],CCDS,CCDS44985.1,MYRF
CCDS54446.1,ENSG00000088836,SLC4A11,solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438],CCDS,CCDS54446.1,LRRTM1
CCDS58565.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS58565.1,EHD1
CCDS58055.1,ENSG00000116852,KIF21B,kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442],CCDS,CCDS58055.1,SGSH
CCDS58572.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS58572.1,POLE
CCDS3855.1,ENSG00000066230,SLC9A3,solute carrier family 9 member A3 [Source:HGNC Symbol;Acc:HGNC:11073],CCDS,CCDS3855.1,NUP210
CCDS34129.1,ENSG00000113504,SLC12A7,solute carrier family 12 member 7 [Source:HGNC Symbol;Acc:HGNC:10915],CCDS,CCDS34129.1,KNDC1
CCDS58569.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS58569.1,GAA
CCDS12035.1,ENSG00000099822,HCN2,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2 [Source:HGNC Symbol;Acc:HGNC:4846],CCDS,CCDS12035.1,PC
CCDS82207.1,ENSG00000167880,EVPL,envoplakin [Source:HGNC Symbol;Acc:HGNC:3503],CCDS,CCDS82207.1,L1CAM
CCDS13527.1,ENSG00000130589,HELZ2,helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021],CCDS,CCDS13527.1,KRTAP10-3
CCDS4787.1,ENSG00000124493,GRM4,glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596],CCDS,CCDS4787.1,FOXK1
CCDS30551.1,ENSG00000188157,AGRN,agrin [Source:HGNC Symbol;Acc:HGNC:329],CCDS,CCDS30551.1,GAREM2
CCDS1724.1,ENSG00000115155,OTOF,otoferlin [Source:HGNC Symbol;Acc:HGNC:8515],CCDS,CCDS1724.1,OTOP2
CCDS64116.1,ENSG00000066230,SLC9A3,solute carrier family 9 member A3 [Source:HGNC Symbol;Acc:HGNC:11073],CCDS,CCDS64116.1,NACC2
CCDS33768.1,ENSG00000010327,STAB1,stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628],CCDS,CCDS33768.1,MUC22
CCDS46241.1,None,None,None,,CCDS46241.1,FZD2
CCDS13052.1,ENSG00000088836,SLC4A11,solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438],CCDS,CCDS13052.1,ACACB
CCDS4444.1,ENSG00000087116,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218],CCDS,CCDS4444.1,SLC2A8
CCDS12013.1,ENSG00000256463,SALL3,spalt like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10527],CCDS,CCDS12013.1,ADCY7
CCDS13274.1,ENSG00000080845,DLGAP4,DLG associated protein 4 [Source:HGNC Symbol;Acc:HGNC:24476],CCDS,CCDS13274.1,HTR1D
CCDS45734.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS45734.1,KRTAP10-5
CCDS62330.1,ENSG00000161509,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587],CCDS,CCDS62330.1,FZD10
CCDS34971.1,ENSG00000147799,ARHGAP39,Rho GTPase activating protein 39 [Source:HGNC Symbol;Acc:HGNC:29351],CCDS,CCDS34971.1,KRTAP5-3
CCDS2848.1,ENSG00000239732,TLR9,toll like receptor 9 [Source:HGNC Symbol;Acc:HGNC:15633],CCDS,CCDS2848.1,POLD1
CCDS64129.1,ENSG00000183580,FBXL7,F-box and leucine rich repeat protein 7 [Source:HGNC Symbol;Acc:HGNC:13604],CCDS,CCDS64129.1,GRM6
CCDS11188.1,ENSG00000108557,RAI1,retinoic acid induced 1 [Source:HGNC Symbol;Acc:HGNC:9834],CCDS,CCDS11188.1,DGKZ
CCDS58570.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS58570.1,TNPO2
CCDS8057.1,ENSG00000126500,FLRT1,fibronectin leucine rich transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3760],CCDS,CCDS8057.1,MUC3A
CCDS32382.1,ENSG00000162104,ADCY9,adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240],CCDS,CCDS32382.1,EPHB2
CCDS12518.1,ENSG00000130402,ACTN4,actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166],CCDS,CCDS12518.1,KRTAP10-12
CCDS32921.1,ENSG00000105613,MAST1,microtubule associated serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:19034],CCDS,CCDS32921.1,CRHR2
CCDS72747.1,ENSG00000121753,ADGRB2,adhesion G protein-coupled receptor B2 [Source:HGNC Symbol;Acc:HGNC:944],CCDS,CCDS72747.1,CLASRP
CCDS44663.1,ENSG00000131620,ANO1,anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625],CCDS,CCDS44663.1,CHRNB2
CCDS4418.1,ENSG00000131183,SLC34A1,solute carrier family 34 member 1 [Source:HGNC Symbol;Acc:HGNC:11019],CCDS,CCDS4418.1,CAPN15
CCDS9600.1,ENSG00000197616,MYH6,myosin heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:7576],CCDS,CCDS9600.1,ANO7
CCDS45928.1,ENSG00000142002,DPP9,dipeptidyl peptidase 9 [Source:HGNC Symbol;Acc:HGNC:18648],CCDS,CCDS45928.1,OR10H2
CCDS54445.1,ENSG00000088836,SLC4A11,solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438],CCDS,CCDS54445.1,IQSEC3
CCDS12405.1,ENSG00000160161,CILP2,cartilage intermediate layer protein 2 [Source:HGNC Symbol;Acc:HGNC:24213],CCDS,CCDS12405.1,FER1L5
CCDS45730.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS45730.1,ABR
CCDS32476.1,ENSG00000132613,MTSS2,MTSS I-BAR domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25094],CCDS,CCDS32476.1,FBRSL1
CCDS45737.1,ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],CCDS,CCDS45737.1,EBF4
CCDS81934.1,ENSG00000103197,TSC2,TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363],CCDS,CCDS81934.1,ADRA1B
CCDS1726.1,ENSG00000115155,OTOF,otoferlin [Source:HGNC Symbol;Acc:HGNC:8515],CCDS,CCDS1726.1,AHNAK2
CCDS32221.1,ENSG00000137857,DUOX1,dual oxidase 1 [Source:HGNC Symbol;Acc:HGNC:3062],CCDS,CCDS32221.1,GPR45
CCDS42414.1,ENSG00000168454,TXNDC2,thioredoxin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16470],CCDS,CCDS42414.1,REPIN1
CCDS69550.1,ENSG00000022567,SLC45A4,solute carrier family 45 member 4 [Source:HGNC Symbol;Acc:HGNC:29196],CCDS,CCDS69550.1,ATP8B2
CCDS14722.1,ENSG00000067842,ATP2B3,ATPase plasma membrane Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:816],CCDS,CCDS14722.1,DRD4
CCDS32762.1,ENSG00000171246,NPTX1,neuronal pentraxin 1 [Source:HGNC Symbol;Acc:HGNC:7952],CCDS,CCDS32762.1,CHRNB4
CCDS33283.1,ENSG00000074047,GLI2,GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318],CCDS,CCDS33283.1,TP73
CCDS73413.1,ENSG00000149571,KIRREL3,kirre like nephrin family adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:23204],CCDS,CCDS73413.1,UTF1
CCDS2736.1,ENSG00000173578,XCR1,X-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1625],CCDS,CCDS2736.1,PITPNM1
CCDS8362.1,ENSG00000149295,DRD2,dopamine receptor D2 [Source:HGNC Symbol;Acc:HGNC:3023],CCDS,CCDS8362.1,ARHGEF10L
CCDS66997.1,ENSG00000196296,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:811],CCDS,CCDS66997.1,KCNA5
CCDS81979.1,ENSG00000102935,ZNF423,zinc finger protein 423 [Source:HGNC Symbol;Acc:HGNC:16762],CCDS,CCDS81979.1,INF2
CCDS81933.1,ENSG00000103197,TSC2,TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363],CCDS,CCDS81933.1,TMEM30B
CCDS61930.1,ENSG00000102935,ZNF423,zinc finger protein 423 [Source:HGNC Symbol;Acc:HGNC:16762],CCDS,CCDS61930.1,PDE2A
CCDS34461.1,ENSG00000137216,TMEM63B,transmembrane protein 63B [Source:HGNC Symbol;Acc:HGNC:17735],CCDS,CCDS34461.1,SLC52A3
CCDS46520.1,ENSG00000124006,OBSL1,obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092],CCDS,CCDS46520.1,ADRB1
CCDS7453.1,ENSG00000187122,SLIT1,slit guidance ligand 1 [Source:HGNC Symbol;Acc:HGNC:11085],CCDS,CCDS7453.1,CTRB2
CCDS83040.1,ENSG00000145934,TENM2,teneurin transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:29943],CCDS,CCDS83040.1,RADIL
CCDS32258.1,ENSG00000198535,C2CD4A,C2 calcium dependent domain containing 4A [Source:HGNC Symbol;Acc:HGNC:33627],CCDS,CCDS32258.1,SEPTIN9
CCDS2601.1,ENSG00000157087,ATP2B2,ATPase plasma membrane Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:815],CCDS,CCDS2601.1,JPH2
CCDS54098.1,ENSG00000007216,SLC13A2,solute carrier family 13 member 2 [Source:HGNC Symbol;Acc:HGNC:10917],CCDS,CCDS54098.1,BEND3
CCDS59959.1,ENSG00000149527,PLCH2,phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037],CCDS,CCDS59959.1,SLC6A8
CCDS11231.1,ENSG00000007216,SLC13A2,solute carrier family 13 member 2 [Source:HGNC Symbol;Acc:HGNC:10917],CCDS,CCDS11231.1,NOTCH3
CCDS104.1,ENSG00000171608,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]",CCDS,CCDS104.1,TMEM121B
CCDS81472.1,ENSG00000107736,CDH23,cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733],CCDS,CCDS81472.1,CRLF1
CCDS30695.1,ENSG00000196517,SLC6A9,solute carrier family 6 member 9 [Source:HGNC Symbol;Acc:HGNC:11056],CCDS,CCDS30695.1,TECPR1
CCDS59299.1,ENSG00000167889,MGAT5B,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B [Source:HGNC Symbol;Acc:HGNC:24140]",CCDS,CCDS59299.1,UNC5B
CCDS56274.1,ENSG00000173175,ADCY5,adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236],CCDS,CCDS56274.1,BCR
CCDS9601.1,ENSG00000092054,MYH7,myosin heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:7577],CCDS,CCDS9601.1,MRGPRF
CCDS456.1,ENSG00000117013,KCNQ4,potassium voltage-gated channel subfamily Q member 4 [Source:HGNC Symbol;Acc:HGNC:6298],CCDS,CCDS456.1,KRTAP4-12
CCDS11103.1,ENSG00000169992,NLGN2,neuroligin 2 [Source:HGNC Symbol;Acc:HGNC:14290],CCDS,CCDS11103.1,SIDT2
CCDS13729.1,ENSG00000142173,COL6A2,collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212],CCDS,CCDS13729.1,PROKR2
CCDS81932.1,ENSG00000103197,TSC2,TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363],CCDS,CCDS81932.1,KRTAP5-10
CCDS13079.1,ENSG00000171873,ADRA1D,adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280],CCDS,CCDS13079.1,TRPM5
CCDS10458.1,ENSG00000103197,TSC2,TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363],CCDS,CCDS10458.1,GNA11
CCDS53723.1,ENSG00000149571,KIRREL3,kirre like nephrin family adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:23204],CCDS,CCDS53723.1,OR10H5
CCDS41316.1,ENSG00000196517,SLC6A9,solute carrier family 6 member 9 [Source:HGNC Symbol;Acc:HGNC:11056],CCDS,CCDS41316.1,CSF3R
CCDS10459.1,ENSG00000103197,TSC2,TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363],CCDS,CCDS10459.1,KDM4B
CCDS43537.1,ENSG00000164855,TMEM184A,transmembrane protein 184A [Source:HGNC Symbol;Acc:HGNC:28797],CCDS,CCDS43537.1,HGFAC
CCDS75432.1,ENSG00000124493,GRM4,glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596],CCDS,CCDS75432.1,KRTAP10-1
